"學校" "班級" "學生" "性別" "家裡書量" "班級人數" "學校書量" "科學"
5013 501311 50131108 "男" 5 24 "多於2000" 566.16209
5013 501311 50131109 "男" 5 24 "多於2000" 382.09383
5013 501311 50131110 "男" 4 24 "多於2000" 631.11539
5013 501311 50131111 "男" 3 24 "多於2000" 644.11282
5013 501311 50131112 "女" 2 24 "多於2000" 705.3491
5013 501311 50131113 "女" 3 24 "多於2000" 528.44963
5013 501311 50131114 "女" 3 24 "多於2000" 600.4537
5013 501311 50131115 "女" 5 24 "多於2000" 602.38984
5013 501311 50131116 "女" 5 24 "多於2000" 525.05669
5013 501311 50131117 "女" 5 24 "多於2000" 624.82279
5013 501311 50131118 "女" 4 24 "多於2000" 578.26611
5013 501311 50131119 "女" 4 24 "多於2000" 633.52375
5013 501311 50131120 "女" 4 24 "多於2000" 571.10963
5013 501311 50131121 "女" 1 24 "多於2000" 626.5681
5013 501311 50131122 "女" 4 24 "多於2000" 507.75687
5013 501311 50131123 "女" 5 24 "多於2000" 623.6896
5013 501311 50131124 "男" 3 24 "多於2000" 619.42232
5014 501412 50141201 "男" 1 30 "多於2000" 476.53551
5014 501412 50141202 "男" 2 30 "多於2000" 560.65743
5014 501412 50141203 "男" 3 30 "多於2000" 543.55727
5014 501412 50141204 "男" 1 30 "多於2000" 546.10459
5014 501412 50141205 "男" 3 30 "多於2000" 569.09582
5014 501412 50141206 "男" 2 30 "多於2000" 520.52231
5014 501412 50141207 "男" 2 30 "多於2000" 511.30551
5014 501412 50141208 "男" 1 30 "多於2000" 572.87076
5014 501412 50141209 "男" 3 30 "多於2000" 667.8156
5014 501412 50141210 "男" 5 30 "多於2000" 596.0613
5014 501412 50141211 "男" 1 30 "多於2000" 543.62076
5014 501412 50141212 "男" 1 30 "多於2000" 610.79439
5014 501412 50141213 "男" 1 30 "多於2000" 625.32526
5014 501412 50141214 "男" 3 30 "多於2000" 628.38678
5014 501412 50141215 "女" 5 30 "多於2000" 688.0316
5014 501412 50141216 "女" 5 30 "多於2000" 649.49108
5014 501412 50141217 "女" 3 30 "多於2000" 439.70785
5014 501412 50141218 "女" 3 30 "多於2000" 630.81305
5014 501412 50141219 "女" 2 30 "多於2000" 618.35844
5014 501412 50141220 "女" 5 30 "多於2000" 557.97185
5014 501412 50141221 "女" 1 30 "多於2000" 525.25507
5014 501412 50141222 "女" 1 30 "多於2000" 554.2089
5014 501412 50141223 "女" 5 30 "多於2000" 708.20306
5014 501412 50141224 "女" 4 30 "多於2000" 616.61627
5014 501412 50141225 "女" 3 30 "多於2000" 647.69925
5014 501412 50141226 "女" 5 30 "多於2000" 620.28608
5014 501412 50141227 "女" 1 30 "多於2000" 600.04159
5014 501412 50141228 "女" 1 30 "多於2000" 507.01591
5014 501412 50141229 "女" 1 30 "多於2000" 471.00027
5014 501412 50141230 "女" 2 30 "多於2000" 446.76212
5015 501501 50150101 "男" 4 24 "多於2000" 555.77187
5015 501501 50150102 "男" 1 24 "多於2000" 449.2706
5015 501501 50150103 "男" 1 24 "多於2000" 410.46646
5015 501501 50150104 "男" 2 24 "多於2000" 634.34286
5015 501501 50150105 "男" 2 24 "多於2000" 472.62394
5015 501501 50150106 "男" 1 24 "多於2000" 454.12476
5015 501501 50150107 "男" 5 24 "多於2000" 551.25249
5015 501501 50150108 "男" 2 24 "多於2000" 505.55805
5015 501501 50150109 "男" 1 24 "多於2000" 415.08422
5015 501501 50150110 "男" 2 24 "多於2000" 532.37492
5015 501501 50150111 "男" 4 24 "多於2000" 571.42255
5015 501501 50150112 "男" 1 24 "多於2000" 354.76566
5015 501501 50150114 "女" 1 24 "多於2000" 476.45155
5015 501501 50150115 "女" 5 24 "多於2000" 558.34268
5015 501501 50150116 "女" 3 24 "多於2000" 698.57927
5015 501501 50150117 "女" 2 24 "多於2000" 453.1089
5015 501501 50150118 "女" 2 24 "多於2000" 517.85894
5015 501501 50150119 "女" 1 24 "多於2000" 493.88522
5015 501501 50150120 "女" 1 24 "多於2000" 554.81392
5015 501501 50150121 "女" 1 24 "多於2000" 530.04866
5015 501501 50150122 "女" 2 24 "多於2000" 550.04127
5015 501501 50150123 "男" 1 24 "多於2000" 412.15398
5015 501501 50150124 "女" 1 24 "多於2000" 537.73236
5015 501505 50150502 "男" 2 11 "多於2000" 371.2437
5015 501505 50150503 "男" 2 11 "多於2000" 362.19936
5015 501505 50150505 "男" 1 11 "多於2000" 457.54689
5015 501505 50150506 "男" 2 11 "多於2000" 512.4994
5015 501505 50150507 "男" 1 11 "多於2000" 363.84187
5015 501505 50150508 "男" 3 11 "多於2000" 627.66582
5015 501505 50150509 "男" 1 11 "多於2000" 426.73426
5015 501505 50150510 "男" 1 11 "多於2000" 322.55263
5015 501505 50150511 "女" 1 11 "多於2000" 462.94143
5015 501505 50150512 "女" 5 11 "多於2000" 475.17115
5016 501609 50160901 "男" 2 30 "多於2000" 532.73226
5016 501609 50160902 "男" 3 30 "多於2000" 554.27704
5016 501609 50160903 "男" 5 30 "多於2000" 683.33627
5016 501609 50160904 "男" 3 30 "多於2000" 560.77232
5016 501609 50160905 "男" 2 30 "多於2000" 642.05436
5016 501609 50160906 "男" 5 30 "多於2000" 621.01414
5016 501609 50160907 "男" 2 30 "多於2000" 468.23061
5016 501609 50160908 "男" 3 30 "多於2000" 554.39437
5016 501609 50160909 "男" 2 30 "多於2000" 561.83458
5016 501609 50160910 "男" 1 30 "多於2000" 552.59557
5016 501609 50160911 "男" 1 30 "多於2000" 573.35287
5016 501609 50160912 "男" 5 30 "多於2000" 589.24996
5016 501609 50160913 "男" 2 30 "多於2000" 571.46697
5016 501609 50160914 "女" 1 30 "多於2000" 458.12843
5016 501609 50160915 "女" 3 30 "多於2000" 409.73062
5016 501609 50160916 "女" 1 30 "多於2000" 530.29448
5016 501609 50160917 "女" 2 30 "多於2000" 549.39648
5016 501609 50160918 "女" 2 30 "多於2000" 399.87995
5016 501609 50160919 "女" 3 30 "多於2000" 561.39386
5016 501609 50160920 "女" 3 30 "多於2000" 580.92239
5016 501609 50160921 "女" 3 30 "多於2000" 597.36299
5016 501609 50160922 "女" 2 30 "多於2000" 634.69555
5016 501609 50160923 "女" 1 30 "多於2000" 525.47543
5016 501609 50160924 "女" 3 30 "多於2000" 511.17818
5016 501609 50160925 "女" 3 30 "多於2000" 629.25996
5016 501609 50160926 "女" 3 30 "多於2000" 490.54112
5016 501609 50160927 "女" 1 30 "多於2000" 493.83522
5016 501609 50160928 "女" 4 30 "多於2000" 633.10094
5016 501609 50160929 "女" 3 30 "多於2000" 564.24212
5016 501609 50160930 "男" 5 30 "多於2000" 677.97325
5017 501703 50170301 "男" 1 17 "多於2000" 662.26524
5017 501703 50170303 "男" 2 17 "多於2000" 396.60121
5017 501703 50170304 "男" 3 17 "多於2000" 672.75477
