"性別" "數學" "數學興趣" "數學評價" "數學信心" "科學" "科學興趣" "科學評價" "科學信心" "教育資源" "父母教育"
"男" 568.69053 8.94763 7.91135 6.95612 595.36976 9.81723 7.81751 6.76777 8.3581 "高中"
"女" 516.10709 6.198 4.34723 7.678 442.20785 7.9045 6.50215 7.1526 9.64761 "高中"
"女" 691.11664 9.13133 7.91135 8.76168 771.62803 12.1963 11.35416 10.13014 10.23835 "大學以上"
"女" 682.84185 8.76139 7.91135 9.89515 635.57419 11.06414 8.41123 12.38397 12.25657 "大學以上"
"女" 598.96553 8.94763 8.34615 9.6723 547.52256 8.69661 9.45051 8.08863 11.48712 "大學以上"
"女" 550.70862 8.76139 8.82228 8.99736 506.75799 8.49394 7.61946 8.62122 9.64761 "高中"
"女" 517.20759 6.198 4.96949 5.04751 494.88061 8.49394 7.41821 8.08863 9.03613 "高中"
"女" 553.44746 8.76139 7.50425 7.34181 624.61429 8.90441 9.23574 8.08863 12.25657 "專科"
"女" 691.09971 9.68014 6.90631 9.89515 677.67824 11.533 8.81725 11.02414 10.84499 "專科"
"女" 649.82667 11.75478 8.34615 11.75008 612.84041 8.90441 7.61946 8.08863 9.64761 "專科"
"女" 528.09184 7.13627 6.25944 8.25602 511.93042 10.07979 8.41123 10.13014 10.23835 "高中"
"女" 505.87782 7.71308 7.70526 8.25602 452.66691 9.34076 8.81725 8.62122 8.3581 "初中"
"女" 598.20242 8.37412 8.34615 7.678 564.5183 10.07979 10.13091 7.80038 10.23835 "高中"
"女" 622.56634 7.71308 6.90631 7.678 573.77266 7.71018 7.21074 7.49248 9.03613 "高中"
"男" 684.53075 10.05658 7.91135 10.84951 650.48159 9.81723 8.6128 9.36803 8.3581 "高中"
"男" 705.63457 13.84849 7.50425 12.59517 710.035 13.51778 9.45051 14.84182 13.51543 "大學以上"
"男" 498.66357 8.76139 8.34615 9.6723 517.80522 8.90441 8.41123 9.12286 10.84499 "專科"
"男" 651.09932 11.42832 7.50425 12.13375 565.8108 9.57219 8.01452 10.4058 10.23835 "大學以上"
"男" 535.55352 8.94763 8.34615 8.51577 548.90936 7.9045 5.83503 5.74112 12.25657 "大學以上"
"男" 564.27358 9.31385 13.48293 9.45004 495.88333 10.07979 12.9367 9.12286 12.25657 "大學以上"
"男" 754.29035 9.31385 9.98068 10.59469 623.14749 8.295 9.45051 10.13014 11.48712 "大學以上"
"男" 492.99256 7.71308 8.82228 6.49606 508.38027 8.69661 7.61946 8.36075 10.84499 "大學以上"
"男" 699.02485 10.67004 8.34615 11.75008 628.75622 9.34076 7.61946 8.62122 13.51543 "大學以上"
"男" 627.25454 10.25252 13.48293 9.45004 551.77879 8.295 12.9367 8.62122 10.84499 "大學以上"
"男" 681.20807 9.68014 7.91135 9.45004 581.05379 7.9045 7.41821 8.62122 11.48712 "高中"
"男" 629.25857 9.68014 6.90631 10.12116 564.67656 7.51243 7.61946 9.36803 10.23835 "高中"
"男" 384.24745 7.55462 8.34615 7.678 494.95922 11.06414 12.9367 10.06223 8.3581 "初中"
"女" 457.89506 8.76139 8.34615 8.51577 521.47875 8.09896 9.23574 8.08863 10.23835 "大學以上"
"女" 453.36888 8.16805 8.12441 8.99736 428.10816 8.49394 7.61946 8.62122 10.84499 "專科"
"女" 576.7651 8.94763 9.35676 8.51577 622.39652 8.90441 8.01452 8.36075 13.51543 "大學以上"
"女" 662.62418 8.76139 8.34615 7.678 618.85241 7.9045 8.21205 5.23276 10.84499 "大學以上"
"女" 613.91852 8.76139 7.70526 8.51577 551.82263 7.71018 8.21205 7.49248 10.23835 "專科"
"女" 668.67892 9.31385 10.77308 8.76168 648.62127 9.57219 9.45051 8.36075 13.51543 "大學以上"
"女" 737.18613 12.15847 13.48293 10.35323 682.91905 10.07979 10.97071 9.86849 10.23835 "大學以上"
